"","LotFrontage","Street","LandContour","LandSlope","Neighborhood","Condition1","Condition2","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","TotalBsmtSF","Heating","HeatingQC","CentralAir2","Electrical","1stFlrSF","2ndFlrSF","GrLivArea","BsmtHalfBath","FullBath","TotRmsAbvGrd","GarageYrBlt","GarageFinish","GarageCars","GarageArea","SaleCondition","SalePrice"
"11",70,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",5,5,1965,1965,"Hip","TA","TA","CBlock","TA","TA",1040,"GasA","Ex",1,"SBrkr",1040,0,1040,0,1,5,1965,"Unf",1,384,"Normal",129500
"12",85,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","2Story",9,5,2005,2006,"Hip","Ex","TA","PConc","Ex","TA",1175,"GasA","Ex",1,"SBrkr",1182,1142,2324,0,3,11,2005,"Fin",3,736,"Partial",345000
"13",NA,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",5,6,1962,1962,"Hip","TA","TA","CBlock","TA","TA",912,"GasA","TA",1,"SBrkr",912,0,912,0,1,4,1962,"Unf",1,352,"Normal",144000
"14",91,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",7,5,2006,2007,"Gable","Gd","TA","PConc","Gd","TA",1494,"GasA","Ex",1,"SBrkr",1494,0,1494,0,2,7,2006,"RFn",3,840,"Partial",279500
"15",NA,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",6,5,1960,1960,"Hip","TA","TA","CBlock","TA","TA",1253,"GasA","TA",1,"SBrkr",1253,0,1253,0,1,5,1960,"RFn",1,352,"Normal",157000
"16",51,"Pave","Lvl","Gtl","BrkSide","Norm","Norm","1.5Unf",7,8,1929,2001,"Gable","TA","TA","BrkTil","TA","TA",832,"GasA","Ex",1,"FuseA",854,0,854,0,1,5,1991,"Unf",2,576,"Normal",132000
"17",NA,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",6,7,1970,1970,"Gable","TA","TA","CBlock","TA","TA",1004,"GasA","Ex",1,"SBrkr",1004,0,1004,0,1,5,1970,"Fin",2,480,"Normal",149000
"18",72,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",4,5,1967,1967,"Gable","TA","TA","Slab",NA,NA,0,"GasA","TA",1,"SBrkr",1296,0,1296,0,2,6,1967,"Unf",2,516,"Normal",90000
"19",66,"Pave","Lvl","Gtl","SawyerW","RRAe","Norm","1Story",5,5,2004,2004,"Gable","TA","TA","PConc","TA","TA",1114,"GasA","Ex",1,"SBrkr",1114,0,1114,0,1,6,2004,"Unf",2,576,"Normal",159000
"20",70,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,6,1958,1965,"Hip","TA","TA","CBlock","TA","TA",1029,"GasA","TA",1,"SBrkr",1339,0,1339,0,1,6,1958,"Unf",1,294,"Abnorml",139000
"21",101,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","2Story",8,5,2005,2006,"Gable","Gd","TA","PConc","Ex","TA",1158,"GasA","Ex",1,"SBrkr",1158,1218,2376,0,3,9,2005,"RFn",3,853,"Partial",325300
"22",57,"Pave","Bnk","Gtl","IDOTRR","Norm","Norm","1.5Unf",7,7,1930,1950,"Gable","TA","TA","PConc","TA","TA",637,"GasA","Ex",1,"FuseF",1108,0,1108,0,1,6,1930,"Unf",1,280,"Normal",139400
"23",75,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",8,5,2002,2002,"Hip","Gd","TA","PConc","Gd","TA",1777,"GasA","Ex",1,"SBrkr",1795,0,1795,0,2,7,2002,"RFn",2,534,"Normal",230000
"24",44,"Pave","Lvl","Gtl","MeadowV","Norm","Norm","1Story",5,7,1976,1976,"Gable","TA","TA","PConc","Gd","TA",1040,"GasA","TA",1,"SBrkr",1060,0,1060,0,1,6,1976,"Unf",2,572,"Normal",129900
"25",NA,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",5,8,1968,2001,"Gable","TA","Gd","CBlock","TA","TA",1060,"GasA","Ex",1,"SBrkr",1060,0,1060,0,1,6,1968,"Unf",1,270,"Normal",154000
"26",110,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","1Story",8,5,2007,2007,"Gable","Gd","TA","PConc","Gd","TA",1566,"GasA","Ex",1,"SBrkr",1600,0,1600,0,2,7,2007,"RFn",3,890,"Normal",256300
"27",60,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,7,1951,2000,"Gable","TA","TA","CBlock","TA","TA",900,"GasA","TA",1,"SBrkr",900,0,900,1,1,5,2005,"Unf",2,576,"Normal",134800
"28",98,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","1Story",8,5,2007,2008,"Gable","Gd","TA","PConc","Ex","TA",1704,"GasA","Ex",1,"SBrkr",1704,0,1704,0,2,7,2008,"RFn",3,772,"Normal",306000
"29",47,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,6,1957,1997,"Gable","TA","TA","CBlock","TA","TA",1484,"GasA","TA",1,"SBrkr",1600,0,1600,0,1,6,1957,"RFn",1,319,"Normal",207500
"30",60,"Pave","Lvl","Gtl","BrkSide","Feedr","RRNn","1Story",4,6,1927,1950,"Gable","TA","TA","BrkTil","TA","TA",520,"GasA","Fa",0,"SBrkr",520,0,520,0,1,4,1920,"Unf",1,240,"Normal",68500
"31",50,"Pave","Lvl","Gtl","IDOTRR","Feedr","Norm","2Story",4,4,1920,1950,"Gambrel","TA","Fa","BrkTil","TA","TA",649,"GasA","TA",0,"SBrkr",649,668,1317,0,1,6,1920,"Unf",1,250,"Normal",40000
"32",NA,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",5,6,1966,2006,"Gable","TA","TA","CBlock","TA","TA",1228,"GasA","Gd",1,"SBrkr",1228,0,1228,0,1,6,1966,"Unf",1,271,"Normal",149350
"33",85,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",8,5,2007,2007,"Gable","Gd","TA","PConc","Ex","TA",1234,"GasA","Ex",1,"SBrkr",1234,0,1234,0,2,7,2007,"RFn",2,484,"Normal",179900
"34",70,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,5,1959,1959,"Hip","TA","TA","CBlock","TA","TA",1398,"GasA","Gd",1,"SBrkr",1700,0,1700,1,1,6,1959,"RFn",2,447,"Normal",165500
"35",60,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","1Story",9,5,2005,2005,"Hip","Ex","TA","PConc","Ex","TA",1561,"GasA","Ex",1,"SBrkr",1561,0,1561,0,2,6,2005,"Fin",2,556,"Normal",277500
"36",108,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","2Story",8,5,2004,2005,"Gable","Gd","TA","PConc","Ex","TA",1117,"GasA","Ex",1,"SBrkr",1132,1320,2452,0,3,9,2004,"Fin",3,691,"Normal",309000
"37",112,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",5,5,1994,1995,"Gable","TA","TA","PConc","Gd","TA",1097,"GasA","Ex",1,"SBrkr",1097,0,1097,0,1,6,1995,"Unf",2,672,"Normal",145000
"38",74,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,6,1954,1990,"Hip","TA","TA","CBlock","TA","TA",1297,"GasA","Gd",1,"SBrkr",1297,0,1297,1,1,5,1954,"Fin",2,498,"Normal",153000
"39",68,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,7,1953,2007,"Gable","TA","Gd","CBlock","TA","TA",1057,"GasA","TA",1,"SBrkr",1057,0,1057,0,1,5,1953,"Unf",1,246,"Abnorml",109000
"40",65,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1Story",4,5,1955,1955,"Gable","TA","TA","PConc",NA,NA,0,"GasA","TA",0,"FuseP",1152,0,1152,0,2,6,NA,NA,0,0,"AdjLand",82000
"41",84,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",6,5,1965,1965,"Gable","TA","TA","CBlock","TA","TA",1088,"GasA","Ex",1,"SBrkr",1324,0,1324,0,2,6,1965,"RFn",2,440,"Abnorml",160000
"42",115,"Pave","Lvl","Gtl","Timber","Norm","Norm","1Story",5,6,1959,1959,"Gable","TA","Gd","CBlock","TA","TA",1350,"GasA","Gd",1,"SBrkr",1328,0,1328,1,1,5,1959,"RFn",1,308,"Normal",170000
"43",NA,"Pave","Lvl","Gtl","SawyerW","Norm","Norm","SFoyer",5,7,1983,1983,"Gable","TA","TA","CBlock","Gd","TA",840,"GasA","Gd",1,"SBrkr",884,0,884,0,1,5,1983,"RFn",2,504,"Normal",144000
"44",NA,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",5,6,1975,1980,"Hip","TA","TA","CBlock","Gd","TA",938,"GasA","TA",1,"SBrkr",938,0,938,0,1,5,1977,"Unf",1,308,"Normal",130250
"45",70,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,6,1959,1959,"Gable","TA","TA","CBlock","TA","TA",1150,"GasA","Ex",1,"FuseA",1150,0,1150,0,1,6,1959,"RFn",1,300,"Normal",141000
"46",61,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","1Story",9,5,2005,2005,"Hip","Ex","TA","PConc","Ex","TA",1752,"GasA","Ex",1,"SBrkr",1752,0,1752,0,2,6,2005,"RFn",2,576,"Normal",319900
"47",48,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","1.5Fin",7,5,2003,2003,"Gable","Gd","TA","PConc","Ex","TA",1434,"GasA","Ex",1,"SBrkr",1518,631,2149,0,1,6,2003,"RFn",2,670,"Abnorml",239686
"48",84,"Pave","Lvl","Gtl","Somerst","Norm","Norm","1Story",8,5,2006,2006,"Gable","Gd","TA","PConc","Gd","TA",1656,"GasA","Ex",1,"SBrkr",1656,0,1656,0,2,7,2006,"RFn",3,826,"Normal",249700
"49",33,"Pave","Lvl","Gtl","OldTown","Norm","Norm","2Story",4,5,1920,2008,"Gable","TA","TA","BrkTil","TA","TA",736,"GasA","Gd",1,"SBrkr",736,716,1452,0,2,8,NA,NA,0,0,"Partial",113000
"50",66,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",5,7,1966,1966,"Gable","TA","TA","CBlock","TA","TA",955,"GasA","Ex",1,"SBrkr",955,0,955,0,1,6,1966,"Unf",1,386,"Normal",127000
"51",NA,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",6,6,1997,1997,"Gable","TA","TA","PConc","Gd","TA",794,"GasA","Gd",1,"SBrkr",794,676,1470,1,2,6,1997,"Fin",2,388,"Normal",177000
"52",52,"Pave","Lvl","Gtl","BrkSide","Norm","Norm","1.5Fin",6,6,1934,1950,"Gable","TA","TA","PConc","TA","TA",816,"GasA","TA",1,"SBrkr",816,0,1176,0,1,6,1985,"Unf",2,528,"Normal",114500
"53",110,"Grvl","Bnk","Mod","IDOTRR","RRNn","Norm","1Story",5,5,1963,1963,"Gable","Fa","TA","CBlock","Gd","TA",816,"GasA","TA",0,"SBrkr",816,0,816,0,1,5,1963,"Unf",2,516,"Normal",110000
"54",68,"Pave","Low","Gtl","Veenker","Norm","Norm","1Story",9,5,1981,1987,"Gable","Gd","TA","CBlock","Ex","TA",1842,"GasA","Gd",1,"SBrkr",1842,0,1842,0,0,5,1981,"Fin",3,894,"Normal",385000
"55",60,"Pave","Bnk","Mod","NAmes","Norm","Norm","SLvl",5,5,1955,1955,"Gable","TA","TA","CBlock","TA","TA",384,"GasA","TA",1,"SBrkr",1360,0,1360,0,1,6,1962,"Unf",2,572,"Normal",130000
"56",100,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",6,5,1964,1964,"Gable","TA","TA","CBlock","TA","TA",1425,"GasA","Gd",1,"SBrkr",1425,0,1425,0,2,7,1964,"RFn",2,576,"Normal",180500
"57",24,"Pave","Lvl","Gtl","Somerst","Norm","Norm","2Story",8,5,1999,2000,"Gable","Gd","TA","PConc","Gd","TA",970,"GasA","Ex",1,"SBrkr",983,756,1739,0,2,7,1999,"Fin",2,480,"Abnorml",172500
"58",89,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",7,5,2004,2004,"Gable","Gd","TA","PConc","Gd","TA",860,"GasA","Ex",1,"SBrkr",860,860,1720,0,2,7,2004,"RFn",2,565,"Normal",196500
"59",66,"Pave","HLS","Gtl","StoneBr","Norm","Norm","2Story",10,5,2006,2006,"Hip","Ex","TA","PConc","Ex","TA",1410,"GasA","Ex",1,"SBrkr",1426,1519,2945,0,3,10,2006,"Fin",3,641,"Partial",438780
"60",60,"Pave","Bnk","Gtl","CollgCr","Norm","Norm","1Story",5,7,1972,1972,"Gable","TA","TA","CBlock","TA","TA",780,"GasA","Ex",1,"SBrkr",780,0,780,0,1,4,1973,"Unf",1,352,"Normal",124900
"61",63,"Pave","Lvl","Gtl","SawyerW","RRAe","Norm","1Story",6,5,2004,2004,"Gable","TA","TA","PConc","Gd","TA",1158,"GasA","Ex",1,"SBrkr",1158,0,1158,0,1,5,2006,"Unf",2,576,"Partial",158000
"62",60,"Pave","Lvl","Gtl","IDOTRR","Norm","Norm","2.5Unf",5,7,1920,1996,"Gable","TA","TA","BrkTil","TA","Fa",530,"GasA","TA",0,"SBrkr",581,530,1111,0,1,6,1935,"Unf",1,288,"Normal",101000
"63",44,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","1Story",8,5,2006,2006,"Gable","Gd","TA","PConc","Gd","Gd",1370,"GasA","Ex",1,"SBrkr",1370,0,1370,0,2,6,2006,"RFn",2,484,"Normal",202500
"64",50,"Pave","Bnk","Gtl","OldTown","RRAn","Feedr","2Story",7,6,1921,1950,"Gable","TA","TA","BrkTil","TA","TA",576,"GasA","Gd",1,"SBrkr",902,808,1710,0,2,9,1990,"Unf",2,480,"Normal",140000
"65",NA,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",7,5,1997,1998,"Gable","TA","TA","PConc","Gd","TA",1057,"GasA","Ex",1,"SBrkr",1057,977,2034,0,2,8,1998,"RFn",2,645,"Normal",219500
"66",76,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","2Story",8,5,2004,2005,"Gable","Gd","TA","PConc","Ex","TA",1143,"GasA","Ex",1,"SBrkr",1143,1330,2473,0,2,9,2004,"RFn",3,852,"Normal",317000
"67",NA,"Pave","Lvl","Gtl","NAmes","PosA","Norm","1Story",7,5,1970,1989,"Gable","TA","TA","CBlock","Gd","TA",1947,"GasA","TA",1,"SBrkr",2207,0,2207,0,2,7,1970,"RFn",2,576,"Normal",180000
"68",72,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",7,5,2003,2003,"Gable","Gd","TA","PConc","Gd","TA",1453,"GasA","Ex",1,"SBrkr",1479,0,1479,0,2,7,2003,"RFn",2,558,"Normal",226000
"69",47,"Pave","Lvl","Gtl","OldTown","Artery","Norm","1Story",4,6,1945,1950,"Gable","TA","Gd","CBlock","TA","TA",747,"GasA","TA",1,"SBrkr",747,0,747,0,1,4,1945,"Unf",1,220,"Normal",80000
"70",81,"Pave","Lvl","Gtl","ClearCr","Norm","Norm","1.5Fin",7,4,1953,1953,"Gable","Gd","TA","CBlock","TA","TA",1304,"GasW","TA",1,"SBrkr",1304,983,2287,0,2,7,1953,"Fin",2,667,"Normal",225000
"71",95,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",7,6,1973,1973,"Gable","TA","Gd","CBlock","Gd","TA",2223,"GasA","Ex",1,"SBrkr",2223,0,2223,0,2,8,1973,"Fin",2,516,"Normal",244000
"72",69,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","1Story",4,6,1982,2006,"Gable","TA","TA","CBlock","TA","TA",845,"GasA","TA",1,"SBrkr",845,0,845,0,1,4,1987,"Unf",2,360,"Normal",129500
"73",74,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",7,5,1998,1998,"Gable","TA","TA","PConc","Gd","TA",832,"GasA","Gd",1,"SBrkr",885,833,1718,0,2,7,1998,"Fin",2,427,"Normal",185000
"74",85,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,7,1954,2003,"Gable","TA","TA","CBlock","TA","TA",1086,"GasA","Gd",1,"SBrkr",1086,0,1086,0,1,6,1989,"Unf",2,490,"Normal",144900
"75",60,"Pave","Lvl","Gtl","OldTown","Norm","Norm","2Story",3,6,1915,1950,"Gambrel","Gd","Gd","CBlock","Fa","TA",840,"GasA","Gd",0,"SBrkr",840,765,1605,0,2,8,1915,"Unf",1,379,"Normal",107400
"76",21,"Pave","Lvl","Gtl","MeadowV","Norm","Norm","SLvl",4,5,1973,1973,"Gable","TA","TA","CBlock","Gd","TA",462,"GasA","TA",1,"SBrkr",526,462,988,0,1,5,1973,"Unf",1,297,"Normal",91000
"77",NA,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",4,7,1956,1956,"Gable","TA","TA","CBlock","TA","TA",952,"GasA","Ex",1,"FuseA",952,0,952,0,1,4,1956,"Unf",1,283,"Normal",135750
"78",50,"Pave","Lvl","Gtl","BrkSide","Norm","Norm","1.5Fin",5,5,1948,2001,"Gable","TA","TA","CBlock","TA","TA",672,"GasA","TA",1,"SBrkr",1072,213,1285,0,1,6,1948,"Unf",1,240,"Normal",127000
"79",72,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",4,5,1968,1968,"Hip","TA","TA","CBlock","TA","TA",1768,"GasA","TA",0,"SBrkr",1768,0,1768,0,2,8,NA,NA,0,0,"Normal",136500
"80",60,"Pave","Lvl","Gtl","OldTown","Norm","Norm","2Story",5,6,1910,1981,"Gable","TA","TA","PConc","TA","TA",440,"GasA","Gd",1,"SBrkr",682,548,1230,0,1,5,1966,"Unf",2,440,"Normal",110000
"81",100,"Pave","Lvl","Gtl","NAmes","Norm","Norm","2Story",6,6,1968,1968,"Gable","TA","Gd","CBlock","Gd","TA",896,"GasA","TA",1,"SBrkr",1182,960,2142,0,2,8,1968,"Fin",1,509,"Normal",193500
"82",32,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","1Story",6,5,1998,1998,"Hip","TA","Gd","PConc","Ex","Gd",1237,"GasA","Ex",1,"SBrkr",1337,0,1337,0,2,5,1998,"Fin",2,405,"Normal",153500
"83",78,"Pave","Lvl","Gtl","Somerst","Norm","Norm","1Story",8,5,2007,2007,"Gable","TA","TA","PConc","Gd","TA",1563,"GasA","Ex",1,"SBrkr",1563,0,1563,0,2,6,2007,"RFn",3,758,"Normal",245000
"84",80,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,5,1960,1960,"Gable","TA","TA","CBlock","TA","TA",1065,"GasA","Gd",1,"SBrkr",1065,0,1065,0,1,6,1974,"Unf",2,461,"Normal",126500
"85",NA,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","SLvl",7,5,1995,1996,"Gable","TA","TA","PConc","Gd","TA",384,"GasA","Gd",1,"SBrkr",804,670,1474,0,2,7,1995,"Fin",2,400,"Normal",168500
"86",121,"Pave","Lvl","Gtl","NoRidge","Norm","Norm","2Story",8,5,1991,1992,"Hip","Gd","TA","CBlock","Gd","TA",1288,"GasA","Ex",1,"SBrkr",1301,1116,2417,0,2,9,1991,"Unf",2,462,"Normal",260000
"87",122,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",6,5,2005,2005,"Gable","Gd","TA","PConc","Gd","TA",684,"GasA","Ex",1,"SBrkr",684,876,1560,0,2,6,2005,"Fin",2,400,"Normal",174000
"88",40,"Pave","Lvl","Gtl","Somerst","Norm","Norm","2Story",6,5,2009,2009,"Gable","Gd","TA","PConc","Gd","TA",612,"GasA","Ex",1,"SBrkr",612,612,1224,0,2,4,2009,"RFn",2,528,"Partial",164500
"89",105,"Pave","Lvl","Gtl","IDOTRR","Feedr","Feedr","1.5Fin",3,2,1915,1982,"Hip","Fa","Fa","CBlock","TA","Fa",1013,"GasA","TA",0,"SBrkr",1013,0,1526,0,1,6,NA,NA,0,0,"Abnorml",85000
"90",60,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",4,5,1994,1995,"Gable","TA","TA","PConc","Gd","TA",990,"GasA","Ex",1,"SBrkr",990,0,990,0,1,5,NA,NA,0,0,"Normal",123600
"91",60,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",4,5,1950,1950,"Gable","TA","TA","Slab",NA,NA,0,"GasA","TA",1,"FuseA",1040,0,1040,0,1,4,1950,"Unf",2,420,"Normal",109900
"92",85,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,3,1961,1961,"Hip","TA","TA","CBlock","TA","TA",1235,"GasA","TA",1,"SBrkr",1235,0,1235,0,1,6,1961,"Unf",2,480,"Abnorml",98600
"93",80,"Pave","HLS","Gtl","Crawfor","Norm","Norm","1Story",5,7,1921,2006,"Gable","TA","Gd","BrkTil","Gd","TA",876,"GasA","Ex",1,"SBrkr",964,0,964,0,1,5,1921,"Unf",2,432,"Normal",163500
"94",60,"Pave","Lvl","Gtl","OldTown","Norm","Norm","2.5Unf",6,6,1910,1998,"Hip","TA","TA","BrkTil","TA","Fa",1214,"GasW","Ex",0,"SBrkr",1260,1031,2291,1,2,9,1900,"Unf",2,506,"Normal",133900
"95",69,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",6,5,1997,1997,"Gable","TA","Gd","PConc","Gd","TA",824,"GasA","Ex",1,"SBrkr",905,881,1786,0,2,7,1997,"RFn",2,684,"Normal",204750
"96",NA,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",6,8,1993,1993,"Gable","Ex","Gd","PConc","Gd","Gd",680,"GasA","Gd",1,"SBrkr",680,790,1470,0,2,6,1993,"Fin",2,420,"Normal",185000
"97",78,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",7,5,1999,1999,"Gable","Gd","TA","PConc","Gd","TA",1588,"GasA","Ex",1,"SBrkr",1588,0,1588,0,2,6,1999,"RFn",2,472,"Normal",214000
"98",73,"Pave","HLS","Gtl","Edwards","Norm","Norm","1Story",4,5,1965,1965,"Hip","TA","TA","CBlock","TA","TA",960,"GasA","TA",1,"FuseF",960,0,960,0,1,6,1965,"Fin",1,432,"Normal",94750
"99",85,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1Story",5,5,1920,1950,"Gable","TA","TA","BrkTil","TA","TA",458,"GasA","Fa",0,"SBrkr",835,0,835,0,1,5,1920,"Unf",1,366,"Abnorml",83000
"100",77,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",4,5,1959,1959,"Gable","TA","TA","CBlock","TA","TA",950,"GasA","Fa",1,"SBrkr",1225,0,1225,0,1,6,NA,NA,0,0,"Normal",128950
"101",NA,"Pave","Lvl","Gtl","NWAmes","Norm","Norm","1Story",6,7,1977,2001,"Gable","TA","TA","PConc","TA","TA",1610,"GasA","Gd",1,"SBrkr",1610,0,1610,0,2,6,1977,"RFn",2,480,"Normal",205000
"102",77,"Pave","Lvl","Gtl","SawyerW","Norm","Norm","2Story",6,5,1985,1985,"Gable","Gd","TA","CBlock","Gd","TA",741,"GasA","TA",1,"SBrkr",977,755,1732,0,2,7,1985,"Fin",2,476,"Normal",178000
"103",64,"Pave","Bnk","Gtl","SawyerW","Norm","Norm","1Story",5,5,1979,1979,"Gable","TA","Fa","Slab",NA,NA,0,"GasA","TA",1,"SBrkr",1535,0,1535,0,2,8,1979,"Unf",2,410,"Alloca",118964
"104",94,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",7,5,2009,2009,"Gable","TA","TA","PConc","Gd","TA",1226,"GasA","Ex",1,"SBrkr",1226,0,1226,0,2,6,2009,"RFn",3,740,"Normal",198900
"105",NA,"Pave","Lvl","Gtl","IDOTRR","Norm","Norm","1.5Fin",7,4,1931,1950,"Gable","TA","Fa","PConc","TA","TA",1040,"GasA","Ex",1,"FuseF",1226,592,1818,0,1,7,1951,"Unf",1,240,"Normal",169500
"106",75,"Pave","Lvl","Gtl","Somerst","Norm","Norm","2Story",8,5,2003,2004,"Hip","Gd","TA","PConc","Ex","TA",1053,"GasA","Ex",1,"SBrkr",1053,939,1992,0,2,9,2003,"RFn",2,648,"Normal",250000
"107",60,"Pave","Lvl","Gtl","OldTown","Norm","Norm","1Story",4,7,1885,1995,"Mansard","TA","TA","BrkTil","Fa","TA",641,"GasA","Gd",1,"SBrkr",1047,0,1047,0,1,6,1954,"Unf",1,273,"Normal",1e+05
"108",50,"Pave","Lvl","Gtl","OldTown","Norm","Norm","1Story",5,5,1948,1950,"Gable","TA","TA","CBlock","TA","TA",789,"GasA","Ex",1,"SBrkr",789,0,789,0,1,5,1948,"Unf",1,250,"Partial",115000
